sampling_seed,model_seed,arm,gen,accuracy,macro_f1,worst_class_recall,ece_scaled,temperature,train_size,pcf1_tree_cover,pcrec_tree_cover,pcf1_shrubland,pcrec_shrubland,pcf1_grassland,pcrec_grassland,pcf1_cropland,pcrec_cropland,pcf1_built_up,pcrec_built_up,pcf1_bare_sparse_vegetation,pcrec_bare_sparse_vegetation,pcf1_permanent_water,pcrec_permanent_water,pcf1_snow_and_ice,pcrec_snow_and_ice,pcf1_herbaceous_wetland,pcrec_herbaceous_wetland,pcf1_moss_lichen,pcrec_moss_lichen,worst_class_name
123,42,D,4,0.64428,0.628886900461436,0.1917,0.024309862163364886,1.837536275119175,50000,0.6373782467532467,0.6282,0.38957449849907083,0.4088,0.2588441803942749,0.1917,0.6819529368167501,0.7361,0.7692649147727273,0.8665,0.4589255174854043,0.3891,0.8059555294348124,0.8228,0.8677313054499366,0.8558,0.6318299031771517,0.6493,0.7874119718309859,0.8945,grassland
123,42,A,5,0.66994,0.659204441551654,0.2733,0.009036921930909148,1.1729197886397984,10000,0.6471872209544598,0.6523,0.3995062744291298,0.3884,0.3343119266055046,0.2733,0.6960423584313021,0.7756,0.7806272978984159,0.8599,0.4890981447228294,0.4363,0.8244531688166012,0.8085,0.9030773079809857,0.9024,0.677604824007853,0.7248,0.8401358916694579,0.8779,grassland
123,42,B,5,0.71082,0.6990514289539153,0.315,0.007790346047282198,0.9109935590445453,60000,0.6810320385596824,0.7206,0.41874021698062286,0.3879,0.38142519828055943,0.315,0.7356068940227356,0.8024,0.8062304164206894,0.8877,0.5338003113186569,0.4801,0.8523409363745498,0.852,0.948161543098252,0.9438,0.7381465001674561,0.7714,0.8950302343159486,0.9473,grassland
123,42,C,5,0.60159,0.5873476806800771,0.1691,0.011662264703214163,4.057237896091911,10000,0.6125752440689969,0.6055,0.3646715603237342,0.3875,0.22945925775154352,0.1691,0.6425009235315848,0.6957,0.7493304767005892,0.8394,0.42506619593998235,0.3612,0.7915930072677274,0.806,0.7824479881719295,0.7409,0.5758026159334126,0.5811,0.7000295371112705,0.8295,grassland
123,42,D,5,0.64616,0.6318022390147379,0.2045,0.030911637469828123,1.9476764358618621,60000,0.638795819372906,0.6387,0.3878612716763006,0.4026,0.26881367071968454,0.2045,0.6838819523269013,0.723,0.7710811171989843,0.8655,0.459828255499353,0.3909,0.8070658859420361,0.8201,0.8717767216098695,0.8621,0.6354011976047904,0.6632,0.7935164981965535,0.891,grassland
123,42,A,6,0.67132,0.6612423789014628,0.2718,0.009165818869173517,1.2505268722746399,10000,0.6513654557430207,0.6428,0.40334839769926045,0.3927,0.3328434974283615,0.2718,0.6913045440187717,0.766,0.7813448624781529,0.8494,0.5003470183118894,0.4686,0.8230773120291247,0.8139,0.9095697108218225,0.9153,0.6741927768476441,0.7047,0.8450302136365799,0.888,grassland
123,42,B,6,0.7295,0.7183651770530581,0.3035,0.005920526313930724,0.9149472354873947,70000,0.6906162600057865,0.7161,0.4570627409744129,0.4564,0.3890526855531342,0.3035,0.7490840005428145,0.828,0.8211549243132125,0.8788,0.5655687454717717,0.5074,0.8600743494423791,0.8676,0.9582266009852217,0.9726,0.7675996607294318,0.8145,0.925211802512416,0.9501,grassland
123,42,C,6,0.59705,0.5826273068512272,0.1586,0.01071494847252966,4.2688781776644245,10000,0.6100776778413737,0.5969,0.36526276556093923,0.392,0.21818682074563214,0.1586,0.6375832800949165,0.6986,0.7469620196403749,0.8329,0.42121408766444457,0.357,0.7893908079913394,0.8021,0.7713857998289136,0.7214,0.5718771465018153,0.5828,0.6943326626425218,0.8282,grassland
123,42,D,6,0.64601,0.6309689444389013,0.2001,0.035431277754306795,2.0740160799199194,70000,0.6392168735492986,0.6334,0.3859119251753702,0.3961,0.2659489633173844,0.2001,0.6857195284187348,0.7474,0.7712621704530298,0.8674,0.46078259343744515,0.3939,0.8076638190706632,0.8178,0.8711405970910947,0.8535,0.6338664981282512,0.6519,0.7881764757477414,0.8986,grassland
123,42,A,7,0.65234,0.6394129489534778,0.2234,0.0071258771941065755,1.1049093392231177,10000,0.64282494365139,0.6417,0.3836445186189632,0.3678,0.28630014097142126,0.2234,0.6802364339362695,0.7653,0.7766733540032829,0.8517,0.48210445044945677,0.4371,0.8131216718577313,0.8093,0.875421893103622,0.8689,0.6442378497790869,0.6999,0.8095642331635541,0.8583,grassland
