sampling_seed,arm,true_class,pred_class,rate_gen0,rate_gen9,delta,category
42,C,bare_sparse_vegetation,grassland,0.07329999655485153,0.06750000268220901,-0.005799993872642517,persistence
42,C,bare_sparse_vegetation,cropland,0.07490000128746033,0.09640000015497208,0.02149999886751175,none
42,C,bare_sparse_vegetation,built_up,0.13850000500679016,0.1559000015258789,0.017399996519088745,persistence
42,C,bare_sparse_vegetation,permanent_water,0.05860000103712082,0.05779999867081642,-0.0008000023663043976,persistence
42,C,bare_sparse_vegetation,snow_and_ice,0.03500000014901161,0.05040000006556511,0.015399999916553497,none
42,C,bare_sparse_vegetation,herbaceous_wetland,0.04610000178217888,0.053300000727176666,0.0071999989449977875,none
42,C,bare_sparse_vegetation,moss_lichen,0.04610000178217888,0.06300000101327896,0.016899999231100082,none
42,C,permanent_water,tree_cover,0.014700000174343586,0.02500000037252903,0.010300000198185444,none
42,C,permanent_water,shrubland,0.00570000009611249,0.005400000140070915,-0.0002999999560415745,none
42,C,permanent_water,grassland,0.0031999999191612005,0.0024999999441206455,-0.000699999975040555,none
42,C,permanent_water,cropland,0.013399999588727951,0.02459999918937683,0.01119999960064888,none
42,C,permanent_water,built_up,0.018799999728798866,0.03240000084042549,0.013600001111626625,none
42,C,permanent_water,bare_sparse_vegetation,0.02449999935925007,0.01730000041425228,-0.0071999989449977875,none
42,C,permanent_water,snow_and_ice,0.014600000344216824,0.00839999970048666,-0.006200000643730164,none
42,C,permanent_water,herbaceous_wetland,0.07119999825954437,0.06849999725818634,-0.0027000010013580322,persistence
42,C,permanent_water,moss_lichen,0.0035000001080334187,0.007499999832361937,0.003999999724328518,none
42,C,snow_and_ice,tree_cover,0.00930000003427267,0.014800000004470348,0.005499999970197678,none
42,C,snow_and_ice,shrubland,0.006599999964237213,0.008700000122189522,0.0021000001579523087,none
42,C,snow_and_ice,grassland,0.0010999999940395355,0.0,-0.0010999999940395355,none
42,C,snow_and_ice,cropland,0.0003000000142492354,0.000699999975040555,0.0003999999607913196,none
42,C,snow_and_ice,built_up,0.0008999999845400453,0.0010000000474974513,0.00010000006295740604,none
42,C,snow_and_ice,bare_sparse_vegetation,0.00430000014603138,0.022700000554323196,0.018400000408291817,none
42,C,snow_and_ice,permanent_water,0.016100000590085983,0.03999999910593033,0.023899998515844345,none
42,C,snow_and_ice,herbaceous_wetland,0.03269999846816063,0.05169999971985817,0.01900000125169754,none
42,C,snow_and_ice,moss_lichen,0.05849999934434891,0.12870000302791595,0.07020000368356705,amplification
42,C,herbaceous_wetland,tree_cover,0.020800000056624413,0.03280000016093254,0.012000000104308128,none
42,C,herbaceous_wetland,shrubland,0.03660000115633011,0.03999999910593033,0.0033999979496002197,none
42,C,herbaceous_wetland,grassland,0.031099999323487282,0.03009999915957451,-0.0010000001639127731,none
42,C,herbaceous_wetland,cropland,0.034699998795986176,0.06480000168085098,0.030100002884864807,none
42,C,herbaceous_wetland,built_up,0.005900000222027302,0.01209999993443489,0.006199999712407589,none
42,C,herbaceous_wetland,bare_sparse_vegetation,0.018200000748038292,0.00930000003427267,-0.008900000713765621,none
42,C,herbaceous_wetland,permanent_water,0.09080000221729279,0.10610000044107437,0.015299998223781586,persistence
42,C,herbaceous_wetland,snow_and_ice,0.013899999670684338,0.010400000028312206,-0.0034999996423721313,none
42,C,herbaceous_wetland,moss_lichen,0.05530000105500221,0.08399999886751175,0.028699997812509537,none
42,C,moss_lichen,tree_cover,0.006399999838322401,0.008999999612569809,0.002599999774247408,none
42,C,moss_lichen,shrubland,0.010300000198185444,0.00860000029206276,-0.0016999999061226845,none
42,C,moss_lichen,grassland,0.0038999998942017555,0.013399999588727951,0.009499999694526196,none
42,C,moss_lichen,cropland,0.001500000013038516,0.0,-0.001500000013038516,none
42,C,moss_lichen,built_up,0.0003000000142492354,0.0010999999940395355,0.0007999999797903001,none
42,C,moss_lichen,bare_sparse_vegetation,0.004999999888241291,0.005900000222027302,0.0009000003337860107,none
42,C,moss_lichen,permanent_water,0.008999999612569809,0.008299999870359898,-0.0006999997422099113,none
42,C,moss_lichen,snow_and_ice,0.039799999445676804,0.11940000206232071,0.0796000063419342,amplification
42,C,moss_lichen,herbaceous_wetland,0.04650000110268593,0.06669999659061432,0.02019999548792839,none
42,D,tree_cover,shrubland,0.13740000128746033,0.15610000491142273,0.018700003623962402,persistence
42,D,tree_cover,grassland,0.028599999845027924,0.020099999383091927,-0.008500000461935997,none
42,D,tree_cover,cropland,0.02590000070631504,0.02969999983906746,0.0037999991327524185,none
42,D,tree_cover,built_up,0.04450000077486038,0.05079999938607216,0.006299998611211777,none
42,D,tree_cover,bare_sparse_vegetation,0.028599999845027924,0.02459999918937683,-0.0040000006556510925,none
42,D,tree_cover,permanent_water,0.008299999870359898,0.0066999997943639755,-0.001600000075995922,none
42,D,tree_cover,snow_and_ice,0.007899999618530273,0.004000000189989805,-0.003899999428540468,none
